"circuito" "MESA"
"800" "016A" 800
"801" "016A" 801
"802" "016A" 802
"803" "016A" 803
"804" "016A" 804
"805" "016A" 805
"806" "0017" 806
"807" "0017" 807
"808" "0017" 808
"809" "0017" 809
"810" "0017" 810
"811" "0017" 811
"812" "0017" 812
"813" "0017" 813
"814" "0017" 814
"815" "0017" 815
"816" "0017" 816
"817" "0017" 817
"818" "0017" 818
"819" "0017" 819
"820" "0017" 820
"821" "0017" 821
"822" "0017" 822
"823" "0017" 823
"824" "0017" 824
"825" "0017" 825
"826" "0017" 826
"827" "0017" 827
"828" "0017" 828
"829" "0017" 829
"830" "0017" 830
"831" "0017" 831
"832" "0017" 832
"833" "0017" 833
"834" "0017" 834
"835" "0017" 835
"836" "0017" 836
"837" "0017" 837
"838" "0017" 838
"839" "0017" 839
"840" "0017" 840
"841" "0017" 841
"842" "0017" 842
"843" "0017" 843
"844" "0017" 844
"845" "0017" 845
"846" "0017" 846
"847" "0017" 847
"848" "0017" 848
"849" "0017" 849
"850" "0017" 850
"851" "0017" 851
"852" "017A" 852
"853" "017A" 853
"854" "017A" 854
"855" "017A" 855
"856" "017A" 856
"857" "017A" 857
"858" "017A" 858
"859" "017A" 859
"860" "017A" 860
"861" "017A" 861
"862" "017A" 862
"863" "017A" 863
"864" "017A" 864
"865" "017A" 865
"866" "017A" 866
"867" "017A" 867
"868" "017A" 868
"869" "017A" 869
"870" "017A" 870
"871" "017A" 871
"872" "017A" 872
"873" "017A" 873
"874" "017A" 874
"875" "017A" 875
"876" "017A" 876
"877" "017A" 877
"878" "017A" 878
"879" "017A" 879
"880" "017A" 880
"881" "017A" 881
"882" "017A" 882
"883" "017A" 883
"884" "017A" 884
"885" "0018" 885
"886" "0018" 886
"887" "0018" 887
"888" "0018" 888
"889" "0018" 889
"890" "0018" 890
"891" "0018" 891
"892" "0018" 892
"893" "0018" 893
"894" "0018" 894
"895" "0018" 895
"896" "0018" 896
"897" "0018" 897
"898" "0018" 898
"899" "0018" 899
"900" "0018" 900
"901" "0018" 901
"902" "0018" 902
"903" "0018" 903
"904" "0018" 904
"905" "0018" 905
"906" "0018" 906
"907" "0018" 907
"908" "0018" 908
"909" "0018" 909
"910" "0018" 910
"911" "0018" 911
"912" "0018" 912
"913" "0018" 913
"914" "0018" 914
"915" "0018" 915
"916" "0018" 916
"917" "0018" 917
"918" "0018" 918
"919" "0018" 919
"920" "0018" 920
"921" "0018" 921
"922" "0018" 922
"923" "0018" 923
"924" "0018" 924
"925" "0018" 925
"926" "0018" 926
"927" "0018" 927
"928" "0018" 928
"929" "0018" 929
"930" "0018" 930
"931" "0018" 931
"932" "0018" 932
"933" "018A" 933
"934" "018A" 934
"935" "018A" 935
"936" "018A" 936
"937" "018A" 937
"938" "018A" 938
"939" "018A" 939
"940" "018A" 940
"941" "018A" 941
"942" "018A" 942
"943" "018A" 943
"944" "018B" 944
"945" "018B" 945
"946" "018B" 946
"947" "018B" 947
